inches,price(USD)
5,120
5.3,100
5.2,420
5.5,150
5.1,420
5,140
5.2,420
5.5,170
6,250
5.5,170
5.5,130
5.2,220
5.46,320
5.5,110
5.2,250
6,250
5,350
5.5,170
6.2,350
5,170
5,280
5.3,160
5.15,330
5,240
5.5,90
5.5,160
5,140
5,230
4.5,240
6.44,200
5,110
5.7,90
5.5,250
5.2,180
5.5,250
5.5,250
6,250
5.7,200
5.5,130
5.5,200
5.2,80
5.5,130
5.5,250
5.2,110
5.5,200
3.8,430
5.7,200
5,250
4.6,300
5.8,500
5.5,150
5.5,200
6.3,210
6,200
5.2,260
5.5,170
5.2,480
5.99,410
5.5,280
5.2,200
5.5,550
5.2,180
4.7,210
5.8,280
6.01,260
6,150
5.2,168
6,150
5.9,180
4.7,500
5.9,300
6,190
5,610
6,520
5.5,140
6,400
6.43,310
5.5,90
10.1,170
5,100
6,230
5.7,160
5.7,200
5.65,450
5.6,230
6,120
5.65,190
6,260
5.7,500
5.2,200
5,200
5.3,500
5,250
5.5,140
5,430
6,100
5.3,140
5.99,180
5.2,280
5,70
5.99,180
5.8,300
6.2,120
5.7,360
5.99,270
5.99,180
5.7,180
6.28,450
6.28,320
5.5,370
5.93,600
5.7,150
5.7,150
5.99,200
5.7,230
5.99,170
5,180
6.23,580
5.99,220
6,240
5.84,150
6.1,150
5.8,170
5.7,330
5.7,410
5.8,460
5.5,420
5.7,120
6.2,280
5.99,400
6,130
5.84,310
5.99,200
5,1300
6,140
5.6,230
5.5,220
6,240
5.6,170
5.45,110
5.45,150
5.8,180
6,150
5.5,370
6,200
6.21,400
6.21,430
5.88,260
5.99,160
5.3,150
6.1,300
6.28,410
6.42,130
5.5,350
5,400
6.3,310
6,110
6.2,120
5.45,130
6.2,300
6.2,350
5.45,130
5.45,110
5.84,220
6.95,400
6.21,100
6.3,140
6.3,250
5.3,250
5.5,160
6,240
6.9,310
5.84,380
5.6,150
6.2,150
6.2,460
6.3,90
5.99,270
6.4,270
6.1,300
6.2,140
6.3,510
5,200
6.2,120
6.1,350
6.3,350
6.4,330
5,200
6.4,150
6.18,360
6,510
6.26,360
6.21,510
6.26,200
6.3,250
6,100
6.5,220
7.12,250
6.2,100
6,220
6.3,150
6.5,570
5.8,380
6.1,310
6,200
6.01,450
6.39,730
5.7,150
5.99,200
6.2,130
6.39,460
7.2,180
6,310
6.53,260
6.3,430
6.4,1350
6.5,220
6.4,132
6.26,170
6.39,550
6.4,70
6.3,260
5.5,450
6.39,230
6.41,430
6.3,130
7.12,180
6.39,150
6.41,230
6.2,290
6,120
6.21,180
6.26,800
6.4,550
6.4,1200
6.2,400
5.45,130
5.84,170
6.39,200
6.41,700
6.3,300
6.21,580
6.26,200
6.26,400
5,100
5,80
6.09,100
6.1,330
6.22,90
6.2,90
6.3,170
6.3,380
6.26,180
6.26,140
5.7,400
6.09,200
7.3,260
5.7,230
7.3,400
6.7,300
8,200
6.39,530
6.39,410
6.1,200
6.39,590
5.97,460
5.8,260
6.4,360
6.4,480
6.21,350
6.1,230
6.5,500
6.4,110
6.5,560
6,280
6.4,100
6.4,240
6.3,260
6.2,300
6.39,400
6.53,600
6.22,108
6.39,600
6.21,130
6.53,460
6.09,120
6.15,200
6.09,200
6.26,100
6.26,150
6.2,270
6.4,400
5.9,200
6.1,130
6.47,270
6.7,270
6.15,120
6.26,120
6.1,330
6.2,210
5.71,120
6.53,250
6.22,220
6.3,260
5,290
6.6,320
6.09,200
6.21,210
6.21,190
6.4,350
6.6,270
5.8,160
6.7,290
6.09,200
6.1,72
6.3,270
6.39,200
5.71,280
6.26,400
6.53,160
6.59,319
7.2,420
6.4,470
6.39,260
6.3,190
6.5,100
6.26,470
6.3,140
6.53,200
5.6,290
6,290
6.41,400
6.67,590
6.67,800
5.45,130
6.39,400
6.3,400
6.39,220
6.4,670
5,380
6.39,280
6.2,550
6.4,280
6.26,110
6.22,130
6.19,200
6.39,460
6.39,430
5.83,120
6.26,390
6.39,260
6.01,170
6.39,550
6.2,96
6.59,180
6.39,160
6.09,230
6.59,230
6.59,760
6.3,180
6.8,1100
6.1,200
6.5,190
5.45,160
5.45,100
6.8,590
6.3,80
6.2,260
6.3,430
6.5,190
6.39,325.38
6.4,700
6.4,590
6.26,260
6.5,270
6.5,880
6.53,1020
6.53,220
6.3,220
6.4,1750
6.7,290
6.7,260
6.3,130
6.39,450
6.26,250
6.39,600
6.53,650
6.4,330
6.62,190
6.09,400
6.62,340
6.39,130
5.71,90
6.59,360
6.39,500
6.3,250
6.1,500
6.4,320
6.5,397.78
5.8,429.89
6.1,494
6.5,260
6.4,290
6.39,320
6.4,1400
6.53,550
6.53,290
6.5,210
6.22,100
6.4,480
6.5,110
6.22,120
6.55,258.5
6.4,140
6.5,500
6.4,340
6.4,560
6.3,220
6.39,1290
6.5,330
5.1,250
6.26,1700
6.22,210
6.67,1030
6.3,250
5.7,300
6.5,440
6.67,800
6.3,1440
6.59,240
6.47,400
6.57,500
6.1,100
6.57,430
6.3,250
6.47,480
6.47,380
6.59,150
6.5,270
6.4,200
6.57,220
6.5,150
6.57,2150
6.4,280
6.5,240
6.59,280
6.67,260
6.67,210
6.5,380
6.7,1020
5.7,240
6.4,170
6.1,40
6.3,380
6.7,200
6.7,336.5
6.52,170
6.57,680
6.15,140
6.4,200
6.4,160
6.09,290
6.67,179.88
6.5,90
6.39,240
6.4,380
6.2,770
6.7,880
6.9,540
6.22,110
6.9,540
6.7,280
6.2,389.99
6.7,550
6.5,150
6.67,339
6.67,930
6.55,220
6.53,200
6.55,1100
6.5,150
5.71,300
6.2,200
6.5,700
6,700
8,360
6.44,439.44
6.5,2000
6.4,690
6.5,130
6.8,240
6.8,700
6.4,1950
6.3,1000
6.4,200
6.67,390
7.1,940
6.39,249.99
6.6,179.99
6.5,190
6.7,400
6.7,440
6.67,180
6.67,280
6.4,650
6.4,430
6.5,400
6.1,160
6.4,310
6.67,204.95
6.67,390
6.4,190
6.67,500
6.58,520
6.58,569.9
6.1,150
10.3,180
6.57,209.06
6.09,110
6.5,310
6.3,120
6.4,290
6.22,90
6.2,227.868
6.7,108.88
6.5,190
6.5,204.99
6.39,160
6.3,200
6.09,150
6.55,156.8
6.78,369.6
6.55,740
6.55,650
6.55,876
6.5,240
4.7,189.5
6.57,650
6.57,670
6.53,1170
6.21,180
6.5,220
6.57,230
6.5,120
6.22,469
6.4,540
6.5,520
6.57,260
6.53,120
6.57,390
5,238.19
6.57,270
6.39,160
6.3,150
6.21,480
5.45,90
6.47,254.44
6.53,156.38
6.67,220
6.5,535
5.45,200
6.3,110
6.5,160
6.8,870
6.5,100
6.5,150
6.67,260
6.67,247.66
6.47,140
6.7,299.99
6.5,500
6.5,820
6.3,247.83
10.4,280
6.63,250
6.2,440
6.8,360
6.53,200
6.5,260
6.67,250
6.44,350
6.53,130
6.57,200
6.57,290
6.6,300
6.5,200
5.71,110
5.7,130
6.57,360
6.81,250
6.43,100
6.55,240
6.3,240
6.53,100.62
6.5,220
6.22,440
6.5,190
6.5,100
6.6,290
6.53,77.77
6.5,126.99
6.53,73.99
7.09,240
6.5,220
6.7,220
6.67,170
6.57,500
6.2,270
6.2,60
6.44,319
5.3,110
6.65,100
6.65,510
6.7,300
6.5,150
6.5,290
5.3,150
6.8,470
6.5,95.988
6.4,355
6.5,110
6.67,600
6.5,250
6.5,180
5.81,330
6.53,127.188
6.4,1349
6.7,850
6.7,800
6.9,261
6.9,1250
7.6,850
6.67,250
6.67,650
6.5,110
6.5,960
6.8,270
6.5,1000
5.7,590
6.67,150
6.53,110
6.53,100
6.7,470
6.55,470
6.4,330
6.5,120
6.43,330
6.44,230
6.6,470
6.63,210
6.5,170
6.4,340
6.6,250
6.67,260
6.63,280
6.53,125.988
6.53,75.73
6.5,120
6.3,200
6.2,360
6.8,140
6.53,113.988
5.7,130
6.5,180
6.1,650
6.8,850
6.6,140
6.43,390
6.5,130
6.5,160
6.5,100
6.5,170
6.67,191.88
6.6,290
6.6,220
6.5,299.99
6.5,390
6.6,240
6.67,200
6.43,168.92
6.5,190
6.7,340
6.57,150
6,238
6.67,369.31
6.2,380
6.67,429.99
6.67,322.99
6.43,200
6.44,270
6.43,80
6.5,250
6.4,330
6.43,370
6.5,320
6.1,567.86
6.1,607
6.7,1298.67
6.5,130
6.5,160
6.4,310
5.4,868.24
6.55,269
6.4,200
6.55,640
6.52,130
6.53,90
6.5,160
6.67,230
6.76,790
6.76,630
6.76,1400
6.53,290
6.5,680
6.52,123.22
6.49,226.72
6.67,330
6.5,110
6.67,230
6.5,260
6.5,349
6.4,190
6.52,130
6.52,140
6.53,1400
6.5,276.92
6.5,230
6.53,199.99
6.5,80
6.53,170
6.67,370
6.53,130
6.8,130
6.5,100
6.55,529
6.43,280
6.53,120
6.52,299
6.5,169
6.5,190
6.72,410
6.57,160
6.67,330
6.55,250
6.81,792.43
6.4,240
6.67,250
6.5,220
6.4,190
6.53,163.98
6.53,189.99
6.5,100
6.8,539.47
6.5,410
6.2,240.45
6.7,443.89
6.5,90
6.72,460
6.5,500
6.5,146.98
6.5,169
6.4,230
6.5,666.9
6.5,160
6.7,130
8,600
6.55,180
6.55,170
6.55,160
6.7,270
6.5,435
6.5,200
6.67,280
6.67,360
6.67,470
6.43,310
6.4,274.44
6.1,2300
8.01,1300
6.43,179
6.67,199
6.5,176.4
6.43,249.99
6.67,220
6.67,180
5.3,215.98
6.43,349.99
6.43,260
6.5,141.04
6.43,370
6.43,200
6.67,430
6.5,500
6.43,250
6.55,275
6.7,300
6.7,250
6.5,364.88
6.7,449.9
6.5,349
6.43,130
6.67,380
6.67,274.09
6.57,390
6.55,308
6.55,304.2
6.43,260
6.7,372.4
6.5,140
6.67,930
6.67,500
6.57,320
6.4,550
6.4,178.9
6.51,311.88
6.81,1500
6.55,478.13
6.67,525
6.55,271.8
6.81,561.25
6.43,260
6.5,210
6.43,255
6.55,310
6.43,161.88
6.5,100
6.5,600
6.43,405.99
6.5,130
6.92,880
6.92,800
6.7,520
6.52,220
6.5,495
6.1,589.99
6.5,517.28
6,746
6.43,300
6.5,428.47
6.6,170
6.5,405
6.53,100
6.5,130
6.5,170
6.43,210
6.67,359.988
6.67,479.988
6.62,350
6.52,110
6.72,600
6.52,151.9
6.44,350
6.43,215
6.44,350
6.44,350
6.67,260
6.6,220
6.58,350
6.43,330
6.5,90
6.51,350
6.53,270
6.5,445
6.58,240
6.5,188.41
6.6,260
6.56,269
6.43,290
6.3,179
6.43,230
6.6,200
6.5,219.98
6.55,170
6.43,264.61
6.55,260
6.43,310
6.4,310.14
6.6,229
6.53,270
6.51,212.4
6.5,239.95
6.58,120
6.44,230
6.43,455
6.57,455
6.78,310
6.72,480
6.5,130
6.49,149.99
6.4,269.99
6.51,221.88
6.5,120
6.44,240
6.56,290
6.52,89.988
6.6,240
6.4,170
6.67,246.68
6.58,460
6.44,650
6.44,310.89
6.58,190
6.52,309.99
6.5,170
6.4,520
6.4,130
6.55,380
6.43,499
6.43,299
6.67,239.988
6.5,160
6.4,175.95
6.6,309.52
6.6,250
6.6,200
6.57,420
6.5,249
6.67,660
6.7,613
7.6,835
6.76,1070
6.76,670
6.5,160
6.76,800
6.67,250
6.52,329
6.5,334
6.56,240
6.34,357.61
6.78,370
6.5,149
6.5,135.52
6.51,500
6,370
6.58,120
6.5,220
6.52,90
6.51,150
6.5,140
6.6,150
6.6,149.99
6.78,660
6.56,120
6.56,500
6.55,145
6.5,269.988
6.4,243.38
6.7,897.62
5.4,684
6.1,648
6.1,1580.09
6.55,319.03
6.67,329.9
6.67,389.9
6.5,123.18
6.51,167.88
6.62,278
6.67,188.988
6.5,90
6.5,125.988
6.7,398.94
6.53,110
6.43,350
6.55,350
6.43,560
6.53,89.988
6.53,94.788
6.6,240
6.53,80.16
6.51,399.28
6.67,143.988
6.58,560
6.51,520
6.67,650
6.62,789
6.67,360
6.51,720
6.44,1040
6.4,339.96
6.43,260
6.6,200
6.7,336
6.67,250
6.58,320
6.58,180
6.59,360
6.44,110
6.67,285
6.5,230
6.67,240
6.5,998
6.52,469
6.67,259.99
6.6,140
6.67,220
6.7,190
7.09,320
6.52,220
6.44,240
6.51,300
6.6,200.43
6.58,230
6.6,290
6.5,98.78
6.51,240
6.53,120
6.43,192.82
6.58,220
6.44,140
6.58,320
6.5,164.55
6.43,499
6.55,310
6.43,230
6.5,155
6.6,191.988
6.67,500
6.78,390
6.5,163
6.58,190
7.1,380
6.74,150
6.81,210
6.51,330
6.67,209
6.62,350
6.44,210
6.56,140
6.49,299
6.58,300
6.5,1070
6.73,620.96
6.28,399.99
6.28,429.89
6.51,380
6.58,180
6.62,699
6.4,475
6.7,480
6.56,183.48
6.78,260
6.44,150
6.78,230
6.67,300
6.67,262.788
6.6,144.99
7.9,1400
6.56,190
6.58,190
6.7,439.94
6.43,140
6.51,390
6.43,220
6.58,424.15
6.51,430
6.43,146.99
6.43,184.9
6.67,222.64
6.67,233.22
6.58,393.42
6.43,280
6.67,300
6.8,825
6.1,564.98
6.58,250
6.6,749.9
6.6,153.5
6.5,200
6.5,128.89
6.6,237.28
6.4,621.99
6.67,460
6.56,380
6.43,319
6.62,270
6.56,180
6.55,174.99
6.7,299
6.6,509
6.43,335.988
6.81,900
6.43,267.15
6.67,315.87
6.81,955
6.92,570
8.8,360
6.51,630
6.43,464.78
6.58,170
6.67,240
6.6,290
6.6,219
6.6,223.08
6.6,210
6.6,160.81
4.7,498
6.6,227.88
6.78,222.61
6.67,250
6.51,400
6.6,240
6.5,180
6.7,162.12
6.59,350
6.58,510
6.4,243.71
6.7,399.5
6.5,309.4
6.67,410
6.81,1150
6.67,475
6.67,260
6.7,116.64
6.71,108
6.52,699.99
6.7,839.95
6.6,119.95
6.7,519.95
6.59,120
6.81,375
6.5,109.99
6.51,180
6.53,85.58
6.6,194.99
6.58,159.06
6.43,234.08
6.81,240
6.67,600
6.67,470
6.74,190
6.67,720
6.81,230
6.5,520
6.74,180
6.51,150
6.7,200
6.4,249.96
6.7,350
8.03,190
7,140
6.43,180
6.43,339
6.62,170
6.58,240
6.43,280
6.56,330
6.5,350
6.58,180
6.7,149.988
6.75,235
6.78,370
6.62,330
6.6,200
6.55,330
6.7,360
6.59,200
6.62,160
6.44,1300
6.78,300
6.78,150
6.44,400
6.67,399.9
6.58,870
6.44,300
6.44,850
6.43,164.99
7.8,1995.99
6.7,340
6.7,395.988
6.59,229
6.58,140.16
6.44,180
6.44,250
6.62,300
6.5,160
6.5,150
6.5,889.99
6.1,285
6,329.99
6.6,199.99
6.59,280
6.6,299
6.4,233.988
6.56,300
6.62,190
6.43,309
6.44,290
6.7,350
6.62,360
6.43,290
6.58,380
6.5,150
6.6,250
6.6,300
6.56,420
6.6,144.8
6.78,520
6.58,480
6.78,600
6.67,529
6.62,231.6
6.56,209.99
6.56,520
6.6,188
6.43,169.99
6.71,89.99
6.62,514.5
6.5,160
6.5,87.48
6.5,120
6.6,119.988
6.67,398.99
6.6,380.42
6.7,219
6.6,425.5
6.44,559.99
6.58,200
6.73,749
6.73,570
6.73,670
6.28,570
6.64,220
6.55,307.72
6.6,270
6.7,500
6.7,240
6.6,131.988
6.5,207.05
6.7,310
6.4,339
6.78,190
6.78,360
6.58,300
6.6,320
6.51,580
6.5,445
6.51,150
6.78,870
6.56,395
6.7,329.99
6.43,999
6.56,119
6.6,210
6.7,500
7.6,1179
6.7,691.27
8.02,1300
6.67,430
6.58,230
6.58,600
6.58,179
6.56,250
6.43,200
6.44,100
6.6,179.88
6.67,440
6.55,279
6.43,155.88
6.5,102
6.58,251.28
6.64,261
6.56,270
6.44,250
6.56,330
6.5,118.16
6.56,350
6.51,300
6.1,704.99
6.58,144
6.58,103.8
6.43,159.9
6.55,180
6.5,108.072
6.58,160
6.58,167.988
6.52,78.89
6.7,1213.33
6.58,250
6.1,1087.84
6.7,933
6.1,816
6.5,100
6.58,160
6.67,210
6.59,180
6.51,270
6.5,128.75
6.44,131.988
6.52,90.85
8.03,180
6.56,210
6.55,350
6.58,200
6.58,160
6.67,439.99
6.67,648
6.67,311.87
6.56,149.76
6.3,463
6.7,670
6.5,150
6.81,300
6.56,220
6.78,1450
6.74,170
6.5,94
6.56,230
6.67,380
6.67,204.24
6.67,343.62
6.67,190
6.67,199
6.52,189.3
6.56,130
6.4,139.8
6.6,180
6.7,230
6.7,205.5
6.44,200
6.72,187
6.78,380
6.78,630
6.78,360
7.9,1379.99
7.9,1500
6.67,370
6.78,419.99
6.67,370
6.7,260
6.7,600
6.7,470
6.51,1019
6.78,90
6.78,1030
6.78,300
6.51,659.988
6.5,101.988
6.36,929
6.73,1191.87
6.56,740
6.8,1100
7.1,180
6.6,150
6.78,160
6.78,280
6.62,800
6.67,450
6.67,230
6.67,460
6.67,300
6.67,350
6.78,340
6.71,94.75
6.52,80
6.7,619
6.6,179
6.5,97.08
6.67,260
6.75,309
6.56,1079.99
6.67,450
6.56,150
6.58,400
6.5,90
6.8,1126.73
6.6,1039
6.1,706.5
6.7,230
6.43,340
6.67,206
6.67,259
6.74,390
6.74,479.988
6.7,189
6.74,440
6.74,340
6.5,150
6.67,309
6.38,250
6.78,380
6.58,335.988
6.71,94.2
6.55,394.49
6.73,900
6.81,1027
6.74,630
6.6,130.27
6.62,287.988
6.78,219.852
6.78,270
6.67,207.6
6.43,186.54
6.81,900
6.74,310
6.72,207.99
6.6,179.88
6.51,380
6.5,131.988
6.6,280.99
6.4,359
6.38,180
6.64,440
6.5,210.79
6.64,130
6.6,200
6.74,299.99
6.82,759
6.7,190
6.67,160
6.52,71.37
6.6,150
6.52,95.99
6.67,270
6.74,150
6.7,200
6.56,820
6.51,200
6.51,220
6.74,270
6.72,180
6.72,229
6.52,82.656
6.38,120
6.58,110
6.72,131.988
6.73,899
6.5,176
8.03,227.988
6.74,167.688
6.78,800
6.8,279
6.67,529.9
6.72,270
6.75,190
6.67,400.99
6.1,394
7.6,1750
6.43,240
6.64,1330
6.7,486.3
6.7,329.9
6.5,1079
6.1,378
6.72,290
6.74,100
6.38,210
6.78,220
6.78,180
6.95,280
6.78,330
6.74,330
6.74,520
6.7,270
6.55,330
6.72,899
6.64,360
6.64,200
6.7,392.79
6.78,440
6.6,340
6.78,430
6.64,280
6.74,179.9
6.78,400
6.78,330
6.78,240
6.78,410
6.7,380.28
6.72,299.99
6.79,134
6.7,199
6.64,220
6.67,220
6.78,191.988
6.79,150
6.5,227.988
6.78,419.988
6.78,510
6.56,180
6.7,180
6.74,429
6.7,323.988
6.78,180
6.43,215.988
6.7,287.988
6.7,479
6.7,200
6.43,250
6.51,500
7.92,1130
6.74,110
6.64,140
8.8,300
6.74,150
6.7,759
6.72,150
6.7,899
7.6,1498.2
6.56,150
6.72,296
6.4,280
6.79,120
6.79,135.48
6.5,210
8.03,1150
6.67,330
6.74,380
6.64,170
6.72,182.88
6.74,380
6.74,470
6.78,287.988
